SOLUCION [10.0, 0.0]
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
X31m int#3;0.4707241910631741;0.6460684093240423;0.5508474576271186;0.6715243568691844;0.704417051874679;0.4322450567719571;0.5508474576271186;0.6715243568691844
S11m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S21m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S31m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q11m int#1;211.0;564.0;75.0;302.0;141.0;843.0;75.0;302.0
q21m int#2;170.99999999999997;681.0;72.99999999999999;291.99999999999994;170.99999999999997;681.0;72.99999999999999;291.99999999999994
q31m int#3;141.0;843.0;75.0;302.0;211.0;564.0;75.0;302.0
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g12m int#1;17.0;27.0;5.0;24.0;17.0;27.0;5.0;24.0;65.0000000025;24.0000000024
g22m int#2;16.0;24.0;6.0;27.0;16.0;24.0;6.0;27.0;65.0000000025;24.0000000024
g32m int#3;16.0;25.0;6.0;26.0;16.0;25.0;6.0;26.0;65.0000000025;24.0000000024
X12m int#1;0.49165835827746757;0.28619629853442574;0.579491525446017;0.48548394455434113;0.3203555998793869;0.4387764192503007;0.5978531073676272;0.47051176794365757
X22m int#2;0.42208686442301374;0.38760272601210166;0.4676082862703389;0.4150702426724138;0.4110699152700476;0.39791708426732564;0.4816854990769067;0.4024204828957307
X32m int#3;0.3474929378664725;0.4596512327296452;0.4792372881540254;0.4434865900553714;0.5067796610364407;0.315606333946795;0.4927024482298729;0.4434865900553714
S12m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S22m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S32m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q12m int#1;227.6;593.1;78.9;327.5;148.3;909.3000000000001;81.4;317.4
q22m int#2;183.89999999999998;714.0;76.39999999999999;315.0;179.09999999999997;733.0;78.69999999999999;305.4
q32m int#3;151.4;882.0;78.3;324.1;220.8;605.6;80.5;324.1
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g13m int#1;17.0;27.0;5.0;24.0;17.0;27.0;5.0;24.0;65.00000256;24.0000024576
g23m int#2;16.0;24.0;6.0;27.0;16.0;24.0;6.0;27.0;65.00000256;24.0000024576
g33m int#3;16.0;25.0;6.0;26.0;16.0;25.0;6.0;26.0;65.00000256;24.0000024576
X13m int#1;0.5275174684331007;0.3002383138670408;0.6081356171715254;0.5232850051012589;0.33612497169611166;0.4707690437298055;0.6448587824596611;0.4933406507016967
X23m int#2;0.4516949330440677;0.40551715367408303;0.4884180983322033;0.44537697632792067;0.42966103387118637;0.42614587099619167;0.5165725250531074;0.4200774557791157
X33m int#3;0.37136300897627117;0.47997596598725195;0.49943504791864396;0.47372744066085637;0.5292726197152542;0.33728604254826217;0.5263653691299435;0.47372744066085637
S13m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S23m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S33m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q13m int#1;244.2;622.2;82.80000000000001;353.0;155.6;975.5999999999999;87.80000000000001;332.79999999999995
q23m int#2;196.79999999999998;747.0000000000001;79.79999999999998;338.0;187.19999999999996;785.0000000000001;84.39999999999999;318.79999999999995
q33m int#3;161.8;921.0;81.6;346.2;230.6;647.2;86.0;346.2
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g14m int#1;17.0;27.0;5.0;24.0;17.0;27.0;5.0;24.0;65.0001476225;24.0001417176
g24m int#2;16.0;24.0;6.0;27.0;16.0;24.0;6.0;27.0;65.0001476225;24.0001417176
g34m int#3;16.0;25.0;6.0;26.0;16.0;25.0;6.0;26.0;65.0001476225;24.0001417176
X14m int#1;0.5633778165486208;0.3142810193279604;0.6367811072170338;0.5610872987391956;0.35189511624145065;0.5027627729737476;0.6918659780835593;0.5161706668982506
X24m int#2;0.48130405919626573;0.4234325110706053;0.5092290284549904;0.4756847552499038;0.44825313667635047;0.45437565611038033;0.5514607627859933;0.4377353897341219
X34m int#3;0.3952339484673199;0.5003017976957307;0.5196339485075563;0.5039693985383089;0.5517667898463628;0.3589665398466867;0.5600295204763418;0.5039693985383089
S14m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S24m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S34m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q14m int#1;260.8;651.3000000000001;86.7;378.5;162.9;1041.8999999999999;94.20000000000002;348.19999999999993
q24m int#2;209.69999999999996;780.0000000000001;83.19999999999997;361.00000000000006;195.29999999999995;837.0000000000001;90.1;332.2
q34m int#3;172.20000000000002;960.0000000000001;84.89999999999998;368.3;240.39999999999998;688.8000000000001;91.5;368.3
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g15m int#1;17.0;27.0;5.0;24.0;17.0;27.0;5.0;24.0;65.00262144;24.0025165824
g25m int#2;16.0;24.0;6.0;27.0;16.0;24.0;6.0;27.0;65.00262144;24.0025165824
g35m int#3;16.0;25.0;6.0;26.0;16.0;25.0;6.0;26.0;65.00262144;24.0025165824
X15m int#1;0.5992597935345962;0.32833555026819006;0.6654505652501695;0.5989112174274768;0.3676785034592223;0.5347758036555087;0.7388998550128815;0.5390200956847289
X25m int#2;0.5109316219118643;0.4413637605291642;0.5300590411209037;0.5060107975624887;0.46686204805423714;0.4826228574543997;0.5863701632723163;0.4554097178062397
X35m int#3;0.41912000970847463;0.52064637256813;0.5398522797559321;0.5342306305034736;0.5742816343322033;0.38066077129505715;0.5937150922485875;0.5342306305034736
S15m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S25m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S35m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q15m int#1;277.4;680.4000000000001;90.60000000000001;404.0;170.2;1108.1999999999998;100.60000000000002;363.5999999999999
q25m int#2;222.59999999999997;813.0000000000001;86.59999999999997;384.00000000000006;203.39999999999995;889.0000000000001;95.79999999999998;345.59999999999997
q35m int#3;182.60000000000002;999.0000000000001;88.19999999999997;390.40000000000003;250.19999999999996;730.4000000000001;97.0;390.40000000000003
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g16m int#1;17.0;27.0;5.0;24.0;17.0;27.0;5.0;24.0;65.0244140625;24.0234375
g26m int#2;16.0;24.0;6.0;27.0;16.0;24.0;6.0;27.0;65.0244140625;24.0234375
g36m int#3;16.0;25.0;6.0;26.0;16.0;25.0;6.0;26.0;65.0244140625;24.0234375
X16m int#1;0.6353332580383847;0.3424929049638372;0.6943284891419492;0.6369272450247161;0.38357705204698406;0.5669597137139205;0.7861708818855935;0.5620382441545223
X26m int#2;0.5407220872782044;0.4594328714578323;0.5510543564618642;0.5364985408874597;0.48561665163201784;0.5110240331463596;0.6214668575653248;0.4732259856968011
X36m int#3;0.4431395449880828;0.5411532715724595;0.5602385957362287;0.5646619258300967;0.5969755528336863;0.4024762289536983;0.6275896837482344;0.5646619258300967
S16m int#1;1770;4989;1770;1827;1770;4989;1770;1827
S26m int#2;1770;4989;1770;1827;1770;4989;1770;1827
S36m int#3;1770;4989;1770;1827;1770;4989;1770;1827
q16m int#1;293.99999999999994;709.5000000000002;94.50000000000001;429.5;177.5;1174.4999999999998;107.00000000000003;378.9999999999999
q26m int#2;235.49999999999997;846.0000000000001;89.99999999999996;407.00000000000006;211.49999999999991;941.0000000000002;101.49999999999999;359.0
q36m int#3;193.00000000000006;1038.0000000000002;91.49999999999997;412.50000000000006;259.99999999999994;772.0000000000002;102.5;412.50000000000006
""
""
k = fase;1;2;3;4;5;6;7;8;Cio;PHIio
m = movimiento;WBL;EBT;NBL;SBT;EBL;WBT;SBL;NBT
g17m int#1;17.0;27.0;5.0;24.0;17.0;27.0;5.0;24.0;65.15116544;24.1451188224
g27m int#2;16.0;24.0;6.0;27.0;16.0;24.0;6.0;27.0;65.15116544;24.1451188224
